Name;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule;Energie, Kalorien;Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);All-trans Retinol-Äquivalente (µg-RE);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Niacin (mg);Folat (µg);Pantothensäure (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg)
Glarner Schabziger, Glarner Kräuterkäse;Milch und Milchprodukte/Frischkäse und Quark;;pro 100g ;559;132;0,5;0,3;0,1;0;2;0;0;0;0;31,6;4,3;0;58,3;3;3;3;1;1;0,01;0,28;0,05;0;0;0;0;0;0;0;140;1740;0;860;34;560;0,2;0;3,9;-
Gorgonzola, ;Milch und Milchprodukte/Hartkäse;;pro 100g ;1480;357;31,2;18,7;7,4;1,4;94;0,1;0,1;0;0;19;3,6;0;42,4;190;182;175;88;88;0,01;0,36;0,07;0,9;0,32;52;1,41;0;0,6;0,54;140;1450;1800;610;20;360;0,3;40;2,5;-
Grapefruit (weiss oder rot), roh, Pampelmuse;Früchte/Früchte frisch;;pro 100g ;126;30;0,1;0;0;0;0;5,9;5,9;0;1,3;0,7;0;0;90,4;39;20;0;236;236;0,05;0,02;0,03;0;0,22;6,8;0,22;34,8;0;0,25;140;1;2,3;19;9;12;0,2;1,3;0,1;-
Greyerzer, vollfett, Gruyère;Milch und Milchprodukte/Hartkäse;;pro 100g ;1640;396;32;19,2;7,5;1,5;96;0;0;0;0;26,4;1,5;0;36;323;307;290;200;200;0,02;0,37;0,13;1,45;0,2;10;0,47;0;0,7;0,35;90;590;900;900;35;600;0,4;11;4,2;-
Griessbrei, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker), ;Süssigkeiten/Cremen und Pudding,Gerichte/Müesli und Brei;;pro 100g ;400;95;3;1,8;0,7;0,2;12;12,1;4,9;7,3;0,3;4,6;0,2;0;79,9;36;34;33;15;15;0,02;0,19;0,03;0,15;0,3;7,3;0,36;0,4;0,1;0,1;170;73;160;130;13;110;0,1;11;0,6;-
Griessbrei, zubereitet (mit Vollmilch, ohne Zugabe von Zucker), ;Süssigkeiten/Cremen und Pudding,Gerichte/Müesli und Brei;;pro 100g ;400;95;3;1,8;0,7;0,2;12;12,1;4,9;7,3;0,3;4,6;0,2;0;79,9;36;34;33;15;15;0,02;0,19;0,03;0,15;0,3;7,3;0,36;0,4;0,1;0,1;170;73;160;130;13;110;0,1;11;0,6;-
Griessschnitte, zubereitet (mit teilentrahmter Milch), ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;612;146;6,5;3,3;1,7;0,5;72;15,6;4;11,6;0,6;6,1;0,3;0;71,4;68;66;65;20;19;0,03;0,18;0,04;0,25;0,4;15,8;0,53;0,3;0,4;0,18;160;100;190;110;14;120;0,4;13;0,8;-
Griessschnitte, zubereitet (mit Vollmilch), ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;651;155;7,5;4;1,9;0,6;76;15,6;4;11,6;0,6;6;0,3;0;70,4;78;76;75;23;23;0,03;0,21;0,04;0,26;0,4;15,8;0,52;0,6;0,4;0,21;160;100;190;110;14;120;0,4;12;0,8;-
Grittibänz, ;Süssigkeiten/Sonstige süsse Backwaren;;pro 100g ;1380;329;11,2;6,4;2,6;0,9;45;46,9;2,8;43,7;2,2;9,2;1,4;0;31,1;112;109;105;46;40;0,11;0,13;0,06;0,11;0,73;23,2;0,37;0,2;0,3;0,31;180;570;900;49;14;91;0,5;5,2;0,6;-
Gugelhopf Grossmutter Art, ;Süssigkeiten/Kuchen, Torten und Cake;;pro 100g ;1910;460;32,1;13,2;14;2,3;118;32,8;27,1;5,2;3,1;8,6;0,4;0;24,2;176;170;164;72;60;0,08;0,15;0,11;0,26;0,4;15,6;0,58;0,3;0,7;5,03;330;140;220;50;53;130;2,2;8,4;1,2;-
