Name;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule;Energie, Kalorien;Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);All-trans Retinol-Äquivalente (µg-RE);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Niacin (mg);Folat (µg);Pantothensäure (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg)
Sandwich (Ruchbrot) mit Salami, ;Gerichte/Sandwiches;;pro 100g ;634;151;6,5;1,6;2,2;2,1;14;16,2;2,1;14;2;5,9;1,2;0;69,6;33;17;0;195;188;0,15;0,06;0,1;0,13;1,27;18,3;0,31;8,3;0,2;2,03;180;480;590;18;19;83;0,9;1,5;0,8;-
Sandwich (Ruchbrot) mit Schinken, ;Gerichte/Sandwiches;;pro 100g ;524;125;3,8;0,6;1,1;1,8;12;15,3;2,1;13,1;1,9;6,5;1,1;0;72,8;31;16;1;182;176;0,18;0,07;0,12;0,02;1,45;17,3;0,3;15,2;0;1,94;200;450;510;19;20;110;0,9;1,9;0,8;-
Sandwich (Ruchbrot) mit Trockenfleisch, ;Gerichte/Sandwiches;;pro 100g ;565;134;4;0,7;1,1;1,9;14;16,2;2,1;14;2;7,4;1,2;0;70,6;33;17;1;194;187;0,1;0,07;0,12;0,17;1,55;18,1;0,33;6,6;0;2,03;200;490;590;18;21;95;1,2;1,5;1,2;-
Sandwich (Ruchbrot) mit Weichkäse, ;Gerichte/Sandwiches;;pro 100g ;731;174;7,7;2,6;1,9;2,5;17;18,6;1,2;17,3;2,2;6,5;1,3;0;65,2;62;44;26;216;210;0,11;0,1;0,07;0,2;0,69;25,5;0,29;5,4;0,1;2,49;150;510;560;70;22;110;1;3,4;0,9;-
Sardelle im Öl, abgetropft, ;Fisch/Meeresfische;;pro 100g ;765;182;8,5;2,9;3,4;1,3;76;0,2;0,1;0;0;26,4;12;0;55,1;12;12;12;0;0;0,04;0,25;0,37;20,9;3,9;16;0,63;0,5;1,7;1,16;250;4970;0;290;230;280;2,7;30;1,7;-
Sardellenpaste, ;Verschiedenes/Aufstriche;;pro 100g ;1130;272;21,3;4;13,8;2,1;57;0,2;0,1;0;0;19,8;19;0;58,7;11;10;9;13;13;0,03;0,19;0,28;15,68;2,93;12;0,47;0,4;1,3;5,51;190;7720;6000;220;170;210;2,1;25;1,3;-
Sardine im Öl, abgetropft, ;Fisch/Meeresfische;;pro 100g ;898;215;13,7;2,8;4,7;4,9;72;0;0;0;0;23;1,2;0;59,8;33;33;33;0;0;0,02;0,25;0,21;12;6,5;12;0,6;0;6;0,4;380;480;0;400;37;470;2,5;26;2,3;-
Sardine, roh, ;Fisch/Meeresfische;;pro 100g ;680;163;9;2,6;2,4;2,6;100;0;0;0;0;20,4;0,3;0;69;28;28;28;0;-;0,01;0,25;0,68;6;8,2;4;0,8;0;11;0,29;360;110;180;85;28;270;1,4;32;2,9;-
Saucisse aux choux, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1490;361;32,3;11,7;15;3,6;46;1,5;1,5;0;0,7;15,9;2,5;0;49,7;7;6;5;12;12;0,44;0,13;0,27;1,05;2,72;8,6;0,4;70,9;0;0,82;170;990;1470;16;18;73;0,7;1,4;1,1;-
Saucisson, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1930;467;44,2;16,1;20,5;4,8;71;0,5;0,5;0;0;16,7;2,5;0,1;38,6;7;7;7;0;0;0,72;0,2;0,39;1,72;4,27;2,2;0,57;59,2;0;0,61;190;1000;1470;2,4;21;79;1;1,1;1,8;-
Saucisson, gekocht (ohne Zusatz von Fett und Salz), ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;2320;562;53,2;19,4;24,7;5,8;85;0,6;0,6;0;0;20,1;2,6;0,1;26;9;9;9;0;0;0,65;0,23;0,35;1,45;3,86;1,7;0,51;50;0;0,66;190;1020;1770;2,5;26;95;1,1;1,3;2,1;-
Saucisson vaudois, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1480;358;32,3;12;14,8;2,9;71;0,2;0,2;0;0;16,5;2,1;0;47,9;0;0;0;-;-;0,45;0,12;0,21;0,7;4,7;-;0,9;19,5;0;0;260;830;1280;14;17;170;0,7;-;1,8;9,4
Sauerkraut, in Essig eingelegt, Sauerkohl;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;80;19;0,3;0,1;0;0,2;0;1,7;0;0;2,2;1,3;1,4;0;91,4;2;1;0;11;8;0,03;0,05;0,17;0;0,2;12;0,2;17;0;0,1;220;550;1160;36;11;30;0,5;3,1;0,3;-
Sauerrahm, Crème fraîche;Fette und Öle/Rahm,Milch und Milchprodukte/Rahm und Butter;1;pro 100g ;1380;336;35;21;8,2;1,6;105;2,8;2,8;0;0;2,4;0,1;0;58;207;201;195;73;73;0,02;0,17;0,03;0,19;0,2;23;0,26;0;0,4;0,7;100;30;50;73;7;64;0,1;9;0,3;-
Saurer Halbrahm, ;Fette und Öle/Rahm,Milch und Milchprodukte/Rahm und Butter;1;pro 100g ;715;173;16,6;10,8;4,3;0,8;50;3,2;3,2;0;0;2,7;0,1;0;77,3;207;198;189;105;105;0,04;0,2;0,04;0,23;0,1;11;0,29;0;0,3;0,45;130;40;70;100;11;80;0,1;11;0,4;-
Sbrinz, ;Milch und Milchprodukte/Hartkäse;;pro 100g ;1720;415;33,2;19,9;7,8;1,5;100;0;0;0;0;28;1,8;0;31,9;298;288;278;118;118;0,01;0,39;0,1;2,07;0,2;8;0,44;0;0,6;0,35;96;710;1090;1030;38;660;0,3;40;4,3;-
Scampi (Kaisergranat), roh, ;Fisch/Meeresfrüchte, Krusten- und Schalentiere;;pro 100g ;395;93;1,3;0,2;0,3;0,4;95;0,8;0;0,8;0;19,6;0,9;0;75,9;0;0;0;0;0;0,13;0,01;0,21;0,9;5,67;17;1,5;3;0;1,5;210;340;0;29;68;180;2;240;4,6;-
Schafmilch, ;Milch und Milchprodukte/Milch;1;pro 100 ml;435;105;7,1;4,1;1,7;0,5;27;4,7;4,7;0;0;5,5;0,1;0;81,8;109;108;108;5;5;0,08;0,4;0,03;0,44;0,45;10;0,36;4,2;0,1;0,25;120;46;-;180;18;140;0;10;0,5;-
Schaumwein, Sekt,Prosecco,Champagner;Alkoholhaltige Getränke/Wein;1;pro 100 ml;293;71;0;0;0;0;0;1,5;1,5;0;0;0,2;0;9,1;89;0;0;0;0;0;0;0;0,02;0;0,1;0;0,03;0;0;0;48;4;7;10;6;7;0,8;10;0;-
Schmelzkäse, Scheibe, Rahm, ;Milch und Milchprodukte/Käseerzeugnisse;;pro 100g ;1350;327;30;18;7;1,4;90;0;0;0;0;14,3;3;0;47;348;334;320;170;-;0,04;0,37;0,07;2;0,2;3;1;0;0,9;0,65;100;1200;900;550;45;750;0,9;35;4;-
Schmelzkäse, Scheibe, viertelfett, ;Milch und Milchprodukte/Käseerzeugnisse;;pro 100g ;648;155;8,6;5,2;2;0,4;26;0;0;0;0;19,4;3;0;59;48;47;45;20;20;0,03;0,32;0,07;1,62;0,2;3;0,74;0;0,2;0,2;150;1200;900;600;45;1200;0,9;35;4;-
Schmelzkäse, Scheibe, vollfett, ;Milch und Milchprodukte/Käseerzeugnisse;;pro 100g ;1310;316;25;15;5,9;1,2;75;0;0;0;0;22,8;3;0;49,5;257;248;238;114;114;0,03;0,23;0,07;1,17;0,2;3;0,42;0;0,7;0,54;150;1200;900;600;45;800;0,9;35;4;-
Schmelzkäse, streichfähig, Rahm, ;Milch und Milchprodukte/Käseerzeugnisse;;pro 100g ;1310;316;29,4;17,6;6,9;1,3;88;0;0;0;0;12,9;2,8;0;50,3;327;313;300;160;160;0,04;0,37;0,07;2;0,15;3;1;0;0,6;0,89;150;1100;780;400;30;600;0,9;35;4;-
Schmelzkäse, streichfähig, viertelfett, ;Milch und Milchprodukte/Käseerzeugnisse;;pro 100g ;624;150;9,3;5,6;2,2;0,4;28;0;0;0;0;16,4;3;0;61,9;48;47;45;20;20;0,03;0,38;0,07;2;0,2;3;1;0;0,2;0,27;200;1200;900;600;30;1100;0,9;35;4;-
Schmelzkäse, streichfähig, vollfett, ;Milch und Milchprodukte/Käseerzeugnisse;;pro 100g ;1020;247;21,2;12,7;5;1;64;0;0;0;0;14,1;3;0;51,3;257;248;238;114;114;0,03;0,38;0,07;2;0,2;3;1;0;0,5;0,67;150;1200;900;500;30;700;0,9;35;4;-
Schnittlauch, roh, ;Gemüse/Kräuter;;pro 100g ;124;30;0,6;0,1;0,1;0,2;0;1,9;1,9;0;2,3;3;0;0;91,3;435;218;0;2612;2612;0,08;0,11;0,13;0;0,7;130;0,3;60;0;1,6;280;3;74;86;40;54;1,5;4,2;0,5;-
Schnitzelbrot mit Cocktailsauce, Plätzlibrot;Gerichte/Sandwiches;;pro 100g ;1110;266;11,4;1,1;6,7;2,6;45;25,1;0,5;24,4;1,3;15,1;1,3;0;47,5;18;14;10;47;45;0,08;0,14;0,14;0,43;4,01;17,4;0,6;0,6;0,1;2,78;190;520;790;9,5;19;130;1,5;0,8;1,4;-
Schnitzelbrot mit Tartarsauce, Plätzlibrot;Gerichte/Sandwiches;;pro 100g ;1030;246;10,3;1,1;6;2,4;54;23,2;0,4;22,5;1,3;14,3;1,2;0;51,2;23;18;13;61;58;0,07;0,14;0,14;0,42;3,72;18,8;0,61;1,7;0,1;2,44;180;480;710;12;18;130;1,4;1,8;1,4;-
Schokolade, dunkel (bitter), ;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2240;537;31,8;19,7;11;1,1;1;53,4;50;2,3;7;5,7;0;0;0,7;5;2;0;29;25;0,08;0,15;0,05;0;0,6;7;0,19;0;0;0;830;15;100;48;120;140;6,7;2,3;2,2;-
Schokoladencrème, ;Süssigkeiten/Cremen und Pudding;;pro 100g ;515;122;3;1,5;0,9;0,2;110;20;18,7;1,3;0,5;3,6;0,2;0;72,1;28;26;25;15;15;0,04;0,21;0,05;0,1;0,3;0;0,5;0;0,1;0,1;230;65;150;150;14;100;0,9;7;0,6;-
Schokoladengugelhopf, ;Süssigkeiten/Kuchen, Torten und Cake;;pro 100g ;1590;380;18,4;10,4;4,7;1,2;128;46,3;23,1;23,3;1,9;6,3;0,1;0;27,5;193;186;180;75;62;0,05;0,09;0,03;0,29;0,27;9;0,44;0,1;0,8;0,39;150;33;61;31;19;90;0,9;7,4;0,7;-
Schokoladenpulver, ;Süssigkeiten/Schokolade und Kakaoerzeugnisse,Alkoholfreie Getränke/Kakaogetränke;;pro 100g ;1680;398;7,8;4,6;2,6;0,2;0;71,3;70,6;0,7;10,5;5,3;0;0;1,7;2;1;0;13;13;0,04;0,13;0,05;0;0,86;12;0,35;0;0;0,22;620;5;12;37;130;210;4,2;0,9;1,8;-
Schokolade, weiss, ;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2370;567;35,2;21,9;11,7;1,3;16;55,8;55,3;-;0,2;6,7;0,3;0;1,3;9;9;9;0;0;0,06;0,28;0,06;0,56;0,75;7;0,61;2,1;-;0,96;330;110;-;260;12;180;0,3;4,9;0,7;-
Scholle, roh, Goldbutt;Fisch/Meeresfische;;pro 100g ;361;86;1,9;0,3;0,5;0,5;63;0;0;0;0;17,1;0,3;0;79,7;16;16;16;0;0;0,21;0,22;0,22;1,5;4;11;0,8;1,5;3;0,8;310;100;130;61;22;200;0,9;53;0,5;-
Schützenwurst, ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1260;306;29,5;10,9;13,9;3;46;0,2;0,2;0;0;9,9;2,1;0;60,3;5;5;5;3;2;0,1;0,1;0,06;0,8;1,78;1,4;0,19;52,2;0;0,31;82;850;1280;5,5;7,4;140;0,9;0,6;1,4;-
Schwarzwälder Kirschtorte, ;Süssigkeiten/Kuchen, Torten und Cake;;pro 100g ;1030;248;16,1;9,3;5;0,8;88;21,4;12;9,4;0,9;3,9;0,1;0;56,4;199;185;171;169;169;0,03;0,1;0,04;0;0,19;6;0,28;0,8;1;0,72;110;51;67;47;13;77;0,7;5,3;0,5;-
Schwarzwurzel, gedämpft (ohne Zugabe von Salz), ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;247;61;0,5;0,1;0;0,3;0;2,4;2,3;0,1;20,3;1,5;0;0;75,3;4;2;0;22;-;0,1;0,04;0,06;0;0,31;33,1;0,16;3,6;0;3,33;300;4,4;33;56;22;80;3,1;2,6;0,2;-
Schwarzwurzel, roh, ;Gemüse/Gemüse frisch;;pro 100g ;222;55;0,4;0,1;0;0,2;0;2,1;2,1;0,1;18,3;1,4;0;0;76,8;3;2;0;20;-;0,11;0,04;0,06;0;0,35;49,6;0,17;4;0;3;320;5;31;53;23;76;3,3;2,5;0,2;-
Schwein, Brustspitz, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;993;239;18,6;7,2;8,9;1,8;59;0;0;-;0;17,9;0,1;0;61,4;3;3;3;0;0;0,7;0,31;0,51;0,7;5;2;0,89;0;0,4;0,27;310;54;67;6;19;170;0,7;1,1;2,2;-
Schwein, Eckstück, Plätzli, gebraten (ohne Zusatz von Fett und Salz), ;Fleisch und Innereien/Schwein;;pro 100g ;744;176;4,1;1,1;1,5;0,5;97;0;0;0;0;34,8;0,2;0;61,1;4;4;4;0;0;0,62;0,25;0,36;1,23;4,96;11,8;0,84;0;0;0,75;270;94;110;12;27;220;2,6;1,5;4;18
Schwein, Eckstück, roh, Plätzli;Fleisch und Innereien/Schwein;;pro 100g ;484;115;2,7;0,7;1;0,4;63;0;0;0;0;22,6;0,2;0;73,7;3;3;3;0;0;0,8;0,19;0,39;1;4,3;9;0,68;0;0;0,57;290;72;69;9;21;170;1,7;1;2,6;11
Schweinefleisch (Durchschnitt exkl. Innereien, Kotelett, Haxe), roh, ;Fleisch und Innereien/Schwein;;pro 100g ;671;160;8,3;2,9;3,6;0,8;63;0;0;0;0;21,4;0,2;0;70,3;3;3;3;0;0;0,83;0,2;0,49;0,77;4,41;3,4;0,81;0;0,3;0,31;330;64;66;6;21;180;1;1,1;2,7;-
Schweineschmalz, ;Fette und Öle/Fette;0,9;pro 100g ;3660;891;99;42,4;41,4;8,9;95;0;0;0;0;0;0;0;0,2;9;9;9;0;0;0;0;0;0;0;0;0;0;0;1,6;1;2;4;1;1;3;0;9,7;0,1;-
Schwein, Filet, gebraten (ohne Zusatz von Fett und Salz), ;Fleisch und Innereien/Schwein;;pro 100g ;707;168;5;1,9;2,2;0,4;90;0;0;0;0;30,8;0,4;0;64,2;4;4;4;0;0;0,69;0,31;0,38;0,78;4,48;4,7;1;0;0,8;0,12;350;150;96;10;30;270;1,7;1,4;2,8;-
Schwein, Filet, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;509;121;3,6;1,4;1,6;0,3;65;0;0;0;0;22,2;0,3;0;73,1;3;3;3;0;0;1;0,26;0,45;0,7;4,3;4;0,9;0;0,7;0,1;420;130;69;8;25;230;1,2;1;2;-
Schwein, Gehacktes, roh, Hackfleisch;Fleisch und Innereien/Schwein;;pro 100g ;663;159;8,5;3,1;4,2;0,8;63;0;0;-;0;20,5;0,1;0;70,3;3;3;3;0;0;0,84;0,16;0,39;0,8;4,93;4;0,7;0;0,4;0,27;330;46;56;4,2;19;180;1,1;1;2,7;-
Schwein, Geschnetzeltes, gebraten (ohne Zusatz von Fett und Salz), ;Fleisch und Innereien/Schwein;;pro 100g ;826;197;7,9;2,4;3,2;0,8;97;0;0;-;0;31,3;0,2;0;60,7;4;4;4;0;0;0,44;0,16;0,6;0,82;4,74;2,5;0,92;0;0,5;0,34;300;60;82;5,7;25;240;1;1,4;3,5;15
Schwein, Geschnetzeltes, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;562;134;5,4;1,6;2,2;0,6;66;0;0;-;0;21,3;0,1;0;72,7;3;3;3;0;0;0,6;0,13;0,68;0,7;4,3;2;0,78;0;0,4;0,27;340;48;56;4,3;20;190;0,7;1;2,4;10
Schwein, Hals, Steak, gebraten (ohne Zusatz von Fett und Salz), ;Fleisch und Innereien/Schwein;;pro 100g ;1240;298;20,7;8;9,6;2,1;88;0;0;-;0;27,8;0,1;0;51,5;4;4;4;0;0;0,66;0,13;0,39;0,82;-;2,5;1,05;0;0,5;0,34;290;59;97;5;23;220;1,3;1,7;4,1;24
Schwein, Hals, Steak, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;843;203;14,1;5,5;6,5;1,4;60;0;0;-;0;18,9;0,1;0;65,4;3;3;3;0;0;0,9;0,1;0,44;0,7;-;2;0,89;0;0,4;0,27;330;47;66;3,8;18;180;0,9;1,1;2,8;16
Schwein, Haxe, geschmort (ohne zusatz von Fett und Salz), ;Fleisch und Innereien/Schwein;;pro 100g ;1120;266;11,6;4,2;5,2;1,2;108;1;0;0;0;39,4;0,1;0;48;4;4;4;0;0;0,61;0,26;0,34;1,85;3,79;3,2;0,53;0;0;0,59;250;57;100;2,6;25;170;1,7;1,5;2,4;-
Schwein, Haxe, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;726;173;7,6;2,7;3,4;0,8;70;0,7;0;0;0;25,6;0,2;0;64,2;3;3;3;0;0;0,89;0,23;0,49;2;4,93;3;0,69;0;0;0,45;300;74;68;2;25;170;1,1;1;2;-
Schwein, Kotelett, gebraten (ohne Zusatz von Fett und Salz), ;Fleisch und Innereien/Schwein;;pro 100g ;1150;276;16;6;7,2;1,6;86;0;0;-;0;32,9;0,1;0;51,1;4;4;4;0;0;0,65;0,21;0,65;0,86;-;2,6;0,97;0;0,5;0,35;320;56;100;6,8;27;260;0,6;1,7;2,2;26
Schwein, Kotelett, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;749;179;10,4;3,9;4,7;1;56;0;0;-;0;21,4;0,1;0;66,3;3;3;3;0;0;0,84;0,16;0,7;0,7;-;2;0,79;0;0,4;0,27;350;43;66;4,9;21;200;0,4;1,1;1,4;17
Schwein, Leber, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;549;131;4,9;1,7;0,5;1,4;354;0,9;0;0,9;0;20,7;0,2;0;71,9;11502;11501;11500;11;11;0,31;3,2;0,59;39;16;136;6,8;23;0;0,6;360;77;68;7,6;23;410;18;14;6,5;-
Schwein, Nierstück, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;578;138;5,1;2;2,4;0,6;56;0;0;-;0;22,9;0,1;0;69,5;3;3;3;0;0;0,9;0,1;0,59;0,7;-;2;0,89;0;0,4;0,27;370;38;66;3,7;21;200;0,4;1,2;1,3;13
Schwein, Runder Mocken, roh, Plätzli;Fleisch und Innereien/Schwein;;pro 100g ;532;127;4,9;1,7;2,5;0,6;65;0;0;-;0;20,6;0,1;0;73,6;3;3;3;0;0;0,84;0,16;0,54;0,7;-;2;0,89;0;0,4;0,27;350;45;66;3,7;19;190;0,7;1,1;2,5;-
Schweinsbratwurst, ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;980;236;18,8;7,4;8,8;1,8;67;0,5;0,5;0;0;16,2;1,9;0;61,8;0;0;0;-;-;0,48;0,12;0,21;0,4;4,7;-;0,7;2,2;0;0;260;760;1060;10;18;160;1;-;2,1;8,3
Schwein, Schulter, Braten medium, im Ofen gebraten (ohne Zugabe von Fett und Salz), ;Fleisch und Innereien/Schwein;;pro 100g ;958;229;11,6;2,4;3,2;0,9;92;0;0;0;0;31,2;0,2;0;57,3;3;3;3;0;0;0,53;0,34;0,4;0,97;4;2,9;0,55;0;0;0,46;240;75;78;8,5;26;150;1,5;1,3;6,7;-
Schwein, Schulter, Braten, roh, ;Fleisch und Innereien/Schwein;;pro 100g ;757;181;9,2;1,9;2,5;0,7;73;0;0;0;0;24,6;0,2;0;62,9;3;3;3;0;0;0,7;0,31;0,5;0,9;4,05;2,7;0,54;0;0;0,43;260;68;62;8,1;23;140;1,3;1;5,3;-
Schwein, Schulter, Braten well done, im Ofen gebraten (ohne Zugabe von Fett und Salz), ;Fleisch und Innereien/Schwein;;pro 100g ;1220;292;14,8;3,1;4;1,1;118;0;0;0;0;39,7;0,2;0;45,5;4;4;4;0;0;0,68;0,43;0,51;1,23;5,1;3,7;0,7;0;0;0,59;310;96;100;11;33;190;1,9;1,6;8,6;-
Schweinspiccata, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;968;232;12,7;3,3;6,3;1,6;183;5,5;0,1;5,3;0,3;23,6;0,9;0;57,9;74;70;66;50;46;0,34;0,22;0,21;1,13;2,54;19,9;0,97;0;0,8;0,81;190;340;500;100;20;230;1,9;13;2,8;-
Schweinsragout mit Sauce, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;472;113;5,5;1,4;3,3;0,7;36;3,1;1,6;1,5;0,6;12,4;0,8;0;78,4;169;85;2;1007;724;0,19;0,14;0,12;0,24;-;3,6;0,27;0,9;0,2;1,01;130;300;470;10;9,2;77;0,5;1;1,2;-
Schweinswurst, ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1110;268;22,4;9;10,4;1,9;61;0,5;0,5;0;0;16,2;2,3;0;57,8;0;0;0;-;-;0,29;0,13;0,16;0,8;4;-;0,6;34,6;0;0;260;930;1290;10;17;190;1;-;2,3;8,4
Schwein, Voressen, roh, Ragout;Fleisch und Innereien/Schwein;;pro 100g ;566;135;5,7;2,1;2,9;0,6;63;0;0;-;0;20,9;0,1;0;72,1;3;3;3;0;0;0,7;0,31;0,39;0,7;4,93;2;0,78;0;0,4;0,52;340;46;56;4,7;19;190;0,8;0,8;2,5;-
Schweizer Salami, Schweine- und Rindfleisch, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;2020;488;43,7;16,6;20,4;4,5;90;1,3;1,3;0;0;22;4;0,1;32,8;8;7;7;3;3;0,73;0,25;0,4;2,82;5,9;3;0,65;42,3;0;0,73;310;1590;2330;3,8;24;170;1,4;0,9;2,6;-
Seehecht, roh, ;Fisch/Meeresfische;;pro 100g ;300;71;0,3;0,1;0,1;0,1;50;0;0;0;0;17;0,2;0;81,5;0;0;0;0;0;0,05;0,08;0,18;2,1;2,2;12;0,19;1,5;0;0,19;320;77;240;25;25;190;0,7;120;0,4;-
Seelachs, roh, Kohlfisch,Köhler,Pollack;Fisch/Meeresfische;;pro 100g ;339;80;0,3;0,1;0,1;0,1;71;0;0;0;0;19,3;0,1;0;79,2;4;4;4;0;0;0,05;0,05;0,18;1,3;2;10;0,38;0;0,8;0,36;440;40;200;8;14;170;0,2;85;0,3;-
Seezunge, roh, ;Fisch/Meeresfische;;pro 100g ;359;85;1,1;0,2;0,2;0,4;50;0;0;0;0;18,7;0,3;0;78,5;0;0;0;0;0;0,07;0,05;0,31;0,8;3,5;10;0,3;2;8;0,8;350;120;140;29;25;270;0,6;25;0,1;-
Sellerie-Piccata, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;668;161;11,6;4,4;4,7;1,2;87;6,8;2;4,7;4,3;5,2;0,8;0;72,1;100;93;87;80;66;0,05;0,11;0,13;0,31;0,56;21,8;0,66;4,5;0,5;0,67;270;310;490;97;13;120;0,8;9,6;0,8;-
Selleriescheiben, paniert, zubereitet, ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;578;138;5,8;0,7;3,5;1;58;14,1;2,2;11,8;5,3;4,9;0,8;0;70,2;29;24;19;62;49;0,07;0,09;0,14;0,17;0,68;24,5;0,64;5;0,4;0,67;290;310;500;50;14;96;0,9;6,8;0,6;-
Semmeli, ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1110;262;0,8;0,2;0,1;0,5;0;53,4;1;51,4;2,6;8,9;1,6;0;35;0;0;0;0;0;0,11;0,04;0,06;0,02;0,73;12,2;0,23;0;0;0,14;150;660;1020;7,6;13;60;0,5;0,9;0,5;1,7
Sesamsamen ungeschält, ;Nüsse, Samen und Ölfrüchte;;pro 100g ;2490;602;49,8;9,2;22,6;18;0;11,7;0,4;0,8;11,8;20,9;0;0;4,7;1;1;0;6;6;0,69;0,09;0,4;0;5,8;115;0,29;0;0;1,68;500;7,7;10;940;330;570;8,6;10;8,5;-
Sherry, 18.5 vol%, Jerez;Alkoholhaltige Getränke/Wein;1;pro 100 ml;492;118;0;0;0;0;0;3,6;3,6;0;0;0,1;0;14,8;80,7;0;0;0;0;0;0;0,01;0,02;0,1;0,08;1;0,04;0;0;0;89;6;7;9;8;7;0,5;10;0,3;-
Siedfleischsalat, zubereitet, ;Gerichte/Salate;;pro 100g ;941;227;17,1;4,4;8,8;2,8;45;1,5;1,3;0,1;0,5;16,5;0,8;0;64,4;32;18;4;166;158;0,03;0,09;0,21;0,67;1,56;11,4;0,38;6,6;0,3;3,13;200;310;310;12;13;100;1,4;3;3,3;-
Silberzwiebel, in Essig eingelegt, ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;116;28;0,2;0;0;0,1;0;4,9;3,5;0;1,3;0,9;1,1;0;90,6;2;1;0;10;10;0,02;0;0,1;0;0,1;14;0;0;0;0,31;93;450;0;22;0;23;0,2;0;0,1;-
Sirup unverdünnt, ;Alkoholfreie Getränke/Sirup;1,3;pro 100 ml;1580;371;0,2;0;0;0,1;0;91,8;91,4;0,3;0,9;0,1;0;0;36,6;0;0;0;0;0;0,01;0,01;0,02;0;0,09;2,6;0,04;5,1;0;0,21;64;1,3;2,6;3,9;2,6;5,2;0,5;0,9;0,1;-
Sirup zubereitet (verdünnt im Verhältnis 1:5.5), ;Alkoholfreie Getränke/Sirup,Alkoholfreie Getränke/Süssgetränke;1;pro 100 ml;232;55;0;0;0;0;0;13,5;13,4;0;0,1;0;0;0;86,3;0;0;0;0;0;0;0;0;0;0,01;0,4;0,01;0,8;0;0,03;9,4;1;1,2;6,2;1,2;0,8;0,1;0,1;0;-
Sojabohne, gekocht (ohne Zugabe von Fett und Salz), ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;;pro 100g ;644;155;7,3;1;1,5;4,3;0;2,5;2,3;0,2;8,8;15,3;0;0;67,4;25;13;0;152;152;0,27;0,14;0,28;0;0,7;50;0,37;8,2;0;0,54;540;2;3,4;72;75;200;2,2;2,5;1,5;-
Sojabohne, getrocknet, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;;pro 100g ;1610;387;18,3;2,4;3,7;10,7;0;6,3;5,7;0,6;22;38,2;0;0;8,4;63;32;0;380;380;1,03;0,46;1;0;2,7;250;1,7;34;0;1,5;1800;4,7;7;200;220;550;6,6;6,3;4,2;-
Soja Drink, nature, Sojamilch;Milch und Milchprodukte/Milchersatzprodukte;1,08;pro 100 ml;167;40;2,2;0,3;0,4;1,1;0;0,8;0,8;0;0,6;3,9;0,1;0;100,4;0;0;0;2;2;0,09;0,01;0,05;0;0,19;28,2;0,1;0;0;0,23;120;26;7,6;13;17;54;0,4;2,2;0,3;-
